2026-06-22 09:15:57.599 [info] Starting Excalidraw MCP server...
2026-06-22 09:15:57.600 [info] Starting Excalidraw MCP server...
2026-06-22 09:15:57.611 [debug] Connecting to transport...
2026-06-22 09:15:57.613 [info] Excalidraw MCP server running on stdio
2026-06-22 09:15:57.611 [debug] Connecting to transport...
2026-06-22 09:15:57.685 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.685 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.685 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.686 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.686 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.687 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.687 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.688 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.688 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.688 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.689 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.689 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.689 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.690 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.690 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.690 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.690 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.690 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.690 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.691 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.691 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.691 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.691 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.691 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.691 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.692 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.692 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.692 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.693 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.693 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.694 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.694 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.694 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.694 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.694 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.695 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.695 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.695 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.696 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.696 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.696 [error] Uncaught exception: EPIPE: broken pipe, write
